Category;CategoryName;CurrencyCode;DimensionDepth;DimensionHeight;DimensionUnit;DimensionWidth;LongDescription;Name;PictureUrl;Price;ProductId;QuantityUnit;ShortDescription;SupplierDetails_SupplierId;UpdatedTimestamp;Weight;WeightUnit;Picture
Flat Screen Monitors;Flat Screen Monitors;EUR;22.1000;39.1000;cm;54.5000;Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm;Flat XL;/ESPM/Images/HT-1037.jpg;1230.000;HT-1037;EA;Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm;;;17.000;KG;
PDAs;PDAs;EUR;1.6000;13.0000;cm;80.0000;64 GB Digital Assistant with high-resolution color screen and synthesized voice output;Comfort Senior;/ESPM/Images/HT-1023.jpg;512.000;HT-1023;EA;64 GB Digital Assistant with high-resolution color screen and synthesized voice output;;;0.800;KG;
Keyboards;Keyboards;EUR;21.0000;3.5000;cm;50.0000;Ergonomic USB Keyboard for Desktop, Plug;Ergonomic Keyboard;/ESPM/Images/HT-1063.jpg;14.000;HT-1063;EA;Ergonomic USB Keyboard for Desktop, Plug;;;2.100;KG;
Keyboards;Keyboards;EUR;25.0000;3.0000;cm;52.0000;Corded Keyboard with special keys for Internet Usability, USB;Internet Keyboard;/ESPM/Images/HT-1064.jpg;16.000;HT-1064;EA;Corded Keyboard with special keys for Internet Usability, USB;;;1.800;KG;
PCs;PCs;EUR;31.7000;40.2000;cm;25.0000;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;Family PC Pro;/ESPM/Images/HT-1601.jpg;900.000;HT-1601;EA;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;;;5.300;KG;
Tablets;Tablets;EUR;31.0000;4.5000;cm;48.0000;10.5-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;Cepat Tablet 10.5;/ESPM/Images/HT-1257-DIAGONAL.jpg;549.000;HT-1257;EA;10.5-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;;;2.800;KG;
Notebooks;Notebooks;EUR;21.0000;4.0000;cm;32.0000;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Notebook Basic 19;/ESPM/Images/HT-1003.jpg;1650.000;HT-1003;EA;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;;;4.200;KG;
Tablets;Tablets;EUR;31.0000;4.5000;cm;48.0000;10.1-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;Maxi Tablet;/ESPM/Images/HT-9999.jpg;749.000;HT-9999;EA;10.1-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;;;3.800;KG;
PDAs;PDAs;EUR;1.7000;18.0000;cm;11.0000;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;ITelO Vault SAT;/ESPM/Images/HT-1021.jpg;149.000;HT-1021;EA;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;;;0.180;KG;
Notebooks;Notebooks;EUR;21.0000;4.1000;cm;38.0000;Notebook with 2,80 GHz quad core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8;ITelO FlexTop I9100;/ESPM/Images/HT-8002.jpg;1199.000;HT-8002;EA;Notebook with 2,80 GHz quad core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8;;;3.500;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;20.0000;41.0000;cm;39.0000;Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz, Dot Pitch: 0.24mm;Flat Basic;/ESPM/Images/HT-1035.jpg;399.000;HT-1035;EA;Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz, Dot Pitch: 0.24mm;;;14.000;KG;
PCs;PCs;EUR;29.0000;38.0000;cm;21.4000;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 500 GB Hard Disc, Graphic Card: Proctra X, Windows 8;Family PC Basic;/ESPM/Images/HT-1600.jpg;600.000;HT-1600;EA;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 500 GB Hard Disc, Graphic Card: Proctra X, Windows 8;;;4.800;KG;
Notebooks;Notebooks;EUR;31.0000;4.5000;cm;48.0000;Notebook with 2,80 GHz quad core, 8 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8;ITelO FlexTop I9800;/ESPM/Images/HT-8003.jpg;1388.000;HT-8003;EA;Notebook with 2,80 GHz quad core, 8 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8;;;3.800;KG;
PDAs;PDAs;EUR;13.0000;12.1000;cm;8.1000;Our new multifunctional Handheld with phone function in gold;Goldberry;/ESPM/Images/HT-7020.jpg;549.000;HT-7020;EA;Our new multifunctional Handheld with phone function in gold;;;0.500;KG;
Scanners;Scanners;EUR;40.0000;10.0000;cm;35.0000;Flatbed scanner - A4 - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module;Jet Scan Professional;/ESPM/Images/HT-1083.jpg;189.000;HT-1083;EA;Flatbed scanner - A4 - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module;;;3.200;KG;
Laser Printers;Laser Printers;EUR;50.0000;65.0000;cm;53.0000;Print up to 25 ppm letter and 24 ppm A4 color or monochrome, with a first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color;Laser Allround;/ESPM/Images/HT-1042.jpg;349.000;HT-1042;EA;Print up to 25 ppm letter and 24 ppm A4 color or monochrome, with a first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color;;;17.000;KG;
PDAs;PDAs;EUR;1.8000;17.0000;cm;10.0000;Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications;ITelO Vault Net;/ESPM/Images/HT-1020.jpg;459.000;HT-1020;EA;Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications;;;0.160;KG;
Computer System Accessories;Computer System Accessories;EUR;8.7000;1.2000;cm;1.5000;USB 2.0 High-Speed 64 GB;USB Stick;/ESPM/Images/HT-1118.jpg;35.000;HT-1118;EA;USB 2.0 High-Speed 64 GB;;;0.015;KG;
Computer System Accessories;Computer System Accessories;EUR;2.0000;2.0000;cm;5.5000;Removable jewel case labels, zero residues (100);Removable CD/DVD Laser Labels;/ESPM/Images/HT-2027.jpg;8.990;HT-2027;EA;Removable jewel case labels, zero residues (100);;;0.150;KG;
Notebooks;Notebooks;EUR;19.0000;3.1000;cm;31.0000;Notebook with 2,80 GHz dual core, 4 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8;ITelO FlexTop I4000;/ESPM/Images/HT-8000.jpg;799.000;HT-8000;EA;Notebook with 2,80 GHz dual core, 4 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8;;;4.000;KG;
Notebooks;Notebooks;EUR;19.0000;2.5000;cm;28.0000;Notebook Basic 18 with 2,80 GHz quad core, 18" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Notebook Basic 18;/ESPM/Images/HT-1002.jpg;1570.000;HT-1002;EA;Notebook Basic 18 with 2,80 GHz quad core, 18" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;;;4.200;KG;
Mousepads;Mousepads;EUR;24.0000;0.6000;cm;24.0000;ITelO Mousepad Special Edition;Designer Mousepad;/ESPM/Images/HT-1068.jpg;12.990;HT-1068;EA;ITelO Mousepad Special Edition;;;90.000;G;
Projectors;Projectors;EUR;23.1000;23.0000;cm;30.4000;1080p, DLP max.9,34 Meter, 2D-ready;Beam Breaker B-2;/ESPM/Images/HT-6101.jpg;679.000;HT-6101;EA;1080p, DLP max.9,34 Meter, 2D-ready;;;2.000;KG;
Multifunction Printers;Multifunction Printers;EUR;41.3000;22.0000;cm;51.0000;1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm, 2400dpi x 4800dpi, high resolution);Multi Color;/ESPM/Images/HT-1056.jpg;119.000;HT-1056;EA;1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm, 2400dpi x 4800dpi, high resolution);;;4.300;KG;
Computer System Accessories;Computer System Accessories;EUR;2.0000;0.1000;cm;2.0000;10 separately packed screen wipes;Screen clean;/ESPM/Images/HT-1113.jpg;2.300;HT-1113;EA;10 separately packed screen wipes;;;0.050;KG;
PDAs;PDAs;EUR;22.0000;3.0000;cm;32.0000;Digital Organizer with State-of-the-Art Storage Encryption;ITelO Vault;/ESPM/Images/HT-1007.jpg;299.000;HT-1007;EA;Digital Organizer with State-of-the-Art Storage Encryption;;;0.200;KG;
Multifunction Printers;Multifunction Printers;EUR;42.0000;22.0000;cm;45.0000;Copymaster;Copymaster;/ESPM/Images/HT-1085.jpg;1499.000;HT-1085;EA;Copymaster;;;23.200;KG;
Graphic Cards;Graphic Cards;EUR;35.0000;17.0000;cm;22.0000;Proctra X: PCI-E GDDR5 3072MB;Proctra X;/ESPM/Images/HT-1070.jpg;70.900;HT-1070;EA;Proctra X: PCI-E GDDR5 3072MB;;;0.255;KG;
Scanners;Scanners;EUR;48.0000;5.0000;cm;34.0000;Flatbed scanner - 9.600 × 9.600 dpi - 216 x 297 mm - Hi-Speed USB - Bluetooth;Photo Scan;/ESPM/Images/HT-1080.jpg;129.000;HT-1080;EA;Flatbed scanner - 9.600 x 9.600 dpi - 216 x 297 mm - Hi-Speed USB - Bluetooth;;;2.300;KG;
Telecommunications;Telecommunications;EUR;18.0000;5.0000;cm;19.3000;Wireless DSL Router / Repeater and Print Server (available in blue, black and silver);Wireless DSL Router / Repeater and Print Server;/ESPM/Images/HT-1117.jpg;69.000;HT-1117;EA;Wireless DSL Router / Repeater and Print Server (available in blue, black and silver);;;0.450;KG;
Laser Printers;Laser Printers;EUR;42.0000;26.0000;cm;48.0000;Up to 22 ppm color or 24 ppm monochrome A4/letter, powerful 500 MHz processor and 128MB of memory;Laser Basic;/ESPM/Images/HT-1041.jpg;490.000;HT-1041;EA;Up to 22 ppm color or 24 ppm monochrome A4/letter, powerful 500 MHz processor and 128MB of memory;;;23.000;KG;
Scanners;Scanners;EUR;43.0000;7.0000;cm;31.0000;Flatbed scanner - 9.600 × 9.600 dpi - 216 x 297 mm - SCSI for backward compatibility;Power Scan;/ESPM/Images/HT-1081.jpg;89.000;HT-1081;EA;Flatbed scanner - 9.600 x 9.600 dpi - 216 x 297 mm - SCSI for backward compatibility;;;2.400;KG;
Smartphones;Smartphones;EUR;31.0000;4.5000;cm;48.0000;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black;Smartphone Alpha;/ESPM/Images/HT-9992.jpg;599.000;HT-9992;EA;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black;;;0.750;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;19.0000;43.0000;cm;40.8000;Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz, Dot Pitch: 0.26mm;Ergo Screen E-II;/ESPM/Images/HT-1031.jpg;285.000;HT-1031;EA;Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz, Dot Pitch: 0.26mm;;;21.000;KG;
Headsets;Headsets;EUR;2.4000;19.7000;cm;21.3000;5.1 Headset, 40 Hz-20 kHz, 1m cable;Lovely Sound Stereo;/ESPM/Images/HT-1097.jpg;29.000;HT-1097;EA;5.1 Headset, 40 Hz-20 kHz, 1m cable;;;60.000;G;
Portable Players;Portable Players;EUR;19.0000;27.6000;cm;21.4000;7" LCD Screen, storage battery holds up to 6 hours!;7" Widescreen Portable DVD Player w MP3;/ESPM/Images/HT-2000.jpg;249.990;HT-2000;EA;7" LCD Screen, storage battery holds up to 6 hours!;;;0.790;KG;
Computer System Accessories;Computer System Accessories;EUR;13.0000;20.0000;cm;13.0000;Organizer and protective case for 264 CDs and DVDs;CD/DVD case: 264 sleeves;/ESPM/Images/HT-2025.jpg;44.990;HT-2025;EA;Organizer and protective case for 264 CDs and DVDs;;;0.650;KG;
Computer System Accessories;Computer System Accessories;EUR;9.0000;7.0000;cm;31.0000;Robust 1m anti-burglary protection for your desktop computer;Notebook Lock;/ESPM/Images/HT-1111.jpg;6.900;HT-1111;EA;Robust 1m anti-burglary protection for your desktop computer;;;0.020;KG;
Speakers;Speakers;EUR;10.0000;16.0000;cm;12.0000;PC multimedia speakers - 5 Watt (Total);Surround Sound;/ESPM/Images/HT-1090.jpg;39.000;HT-1090;EA;PC multimedia speakers - 5 Watt (Total);;;3.000;KG;
Smartphones;Smartphones;EUR;31.0000;4.5000;cm;48.0000;5 Megapixel Camera, Wi-Fi 802.11 b/g/n, Bluetooth, GPS A-GPS support;Smartphone Beta;/ESPM/Images/HT-9998.jpg;699.000;HT-9998;EA;5 Megapixel Camera, Wi-Fi 802.11 b/g/n, Bluetooth, GPS A-GPS support;;;0.750;KG;
PDAs;PDAs;EUR;13.0000;12.1000;cm;8.1000;Our new multifunctional Handheld with phone function in copper;Copperberry;/ESPM/Images/HT-7000.jpg;549.000;HT-7000;EA;Our new multifunctional Handheld with phone function in copper;;;0.500;KG;
Mousepads;Mousepads;EUR;6.0000;0.2000;cm;15.0000;Nice mouse pad with ITelO Logo;Mousepad;/ESPM/Images/HT-1066.jpg;6.990;HT-1066;EA;Nice mouse pad with ITelO Logo;;;80.000;G;
Servers;Servers;EUR;30.0000;27.0000;cm;29.0000;Dual socket, quad-core processing server with 1644 MHz Front Side Bus with 10Gb connectivity;Server Professional;/ESPM/Images/HT-1501.jpg;15000.000;HT-1501;EA;Dual socket, quad-core processing server with 1644 MHz Front Side Bus with 10Gb connectivity;;;25.000;KG;
Tablets;Tablets;EUR;31.0000;4.5000;cm;48.0000;6-Inch E Ink Screen, Access To e-book Store, Adjustable Font Styles and Sizes, Stores Up To 1,000 Books;e-Book Reader ReadMe;/ESPM/Images/HT-9997.jpg;633.000;HT-9997;EA;6-Inch E Ink Screen, Access To e-book Store, Adjustable Font Styles and Sizes, Stores Up To 1,000 Books;;;3.800;KG;
Graphic Cards;Graphic Cards;EUR;35.0000;17.0000;cm;22.0000;Gladiator XLN: PCI-E GDDR5 3072MB DVI Out, TV Out low-noise;Gladiator MX;/ESPM/Images/HT-1071.jpg;81.700;HT-1071;EA;Gladiator XLN: PCI-E GDDR5 3072MB DVI Out, TV Out low-noise;;;0.300;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;22.0000;38.0000;cm;54.0000;Optimum Hi-Resolution max. 2048 × 1536 @ 85Hz, Dot Pitch: 0.24mm;Flat XXL;/ESPM/Images/HT-1137.jpg;1430.000;HT-1137;EA;Optimum Hi-Resolution max. 2048 x 1536 @ 85Hz, Dot Pitch: 0.24mm;;;18.000;KG;
Software;Software;EUR;6.0000;27.0000;cm;16.0000;Complete package, 1 User, Network Software Utilities, Useful Applications and Documentation;Smart Network;/ESPM/Images/HT-1102.jpg;69.000;HT-1102;EA;Complete package, 1 User, Network Software Utilities, Useful Applications and Documentation;;;0.800;KG;
Headsets;Headsets;EUR;17.0000;19.0000;cm;25.0000;5.1 Headset, 40 Hz-20 kHz, 3m cable;Lovely Sound 5.1;/ESPM/Images/HT-1096.jpg;39.000;HT-1096;EA;5.1 Headset, 40 Hz-20 kHz, 3m cable;;;130.000;G;
Flat Screen TVs;Flat Screen TVs;EUR;22.1000;55.0000;cm;78.0000;32-inch, 1366x768 Pixel, 16:9, HDTV ready;Flat Watch HD32;/ESPM/Images/HT-6130.jpg;1459.000;HT-6130;EA;32-inch, 1366x768 Pixel, 16:9, HDTV ready;;;2.600;KG;
Computer System Accessories;Computer System Accessories;EUR;6.0000;3.0000;cm;6.0000;Universal card reader;Universal card reader;/ESPM/Images/HT-1069.jpg;14.000;HT-1069;EA;Universal card reader;;;45.000;G;
Mice;Mice;EUR;15.0000;3.1000;cm;7.0000;Optical USB, PS/2 Mouse, Color: Blue, 3-button-functionality (incl. Scroll wheel);Speed Mouse;/ESPM/Images/HT-1061.jpg;7.000;HT-1061;EA;Optical USB, PS/2 Mouse, Color: Blue, 3-button-functionality (incl. Scroll wheel);;;0.090;KG;
Computer System Accessories;Computer System Accessories;EUR;3.1000;3.9000;cm;2.0000;Universal Travel Adapter;Travel Adapter;/ESPM/Images/HT-1119.jpg;79.000;HT-1119;EA;Universal Travel Adapter;;;88.000;G;
Computer System Accessories;Computer System Accessories;EUR;30.0000;3.0000;cm;46.0000;Flyer for our product palette;Flyer;/ESPM/Images/PF-1000.jpg;0.000;PF-1000;EA;Flyer for our product palette;;;0.010;KG;
Ink Jet Printers;Ink Jet Printers;EUR;32.0000;25.0000;cm;46.0000;1000 dpi x 1000 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB - excellent dimensions for the small office;Ultra Jet Mobile;/ESPM/Images/HT-1051.jpg;99.000;HT-1051;EA;1000 dpi x 1000 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB - excellent dimensions for the small office;;;1.900;KG;
Software;Software;EUR;4.0000;21.0000;cm;16.0000;Complete package, 1 User, highly recommended for internet users as anti-virus protection;Smart Internet Antivirus;/ESPM/Images/HT-1105.jpg;29.000;HT-1105;EA;Complete package, 1 User, highly recommended for internet users as anti-virus protection;;;0.700;KG;
Multifunction Printers;Multifunction Printers;EUR;45.0000;29.0000;cm;55.0000;1000 dpi x 1000 dpi - up to 16 ppm (mono) / up to 15 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm, 1200dpi x 2400dpi);Multi Print;/ESPM/Images/HT-1055.jpg;99.000;HT-1055;EA;1000 dpi x 1000 dpi - up to 16 ppm (mono) / up to 15 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm, 1200dpi x 2400dpi);;;6.300;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;26.0000;46.0000;cm;45.0000;Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.26mm;Flat Future;/ESPM/Images/HT-1036.jpg;430.000;HT-1036;EA;Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.26mm;;;15.000;KG;
Accessories;Accessories;EUR;31.0000;4.5000;cm;48.0000;Button Clasp, Quality Material, 100% Leather, compatible with many smartphone models;Smartphone Leather Case;/ESPM/Images/HT-9991.jpg;25.000;HT-9991;EA;Button Clasp, Quality Material, 100% Leather, compatible with many smartphone models;;;0.020;KG;
Graphic Cards;Graphic Cards;EUR;35.0000;17.0000;cm;22.0000;Hurricane GX: PCI-E 691 GFLOPS game-optimized;Hurricane GX;/ESPM/Images/HT-1072.jpg;101.200;HT-1072;EA;Hurricane GX: PCI-E 691 GFLOPS game-optimized;;;0.400;KG;
Mousepads;Mousepads;EUR;6.0000;0.2000;cm;15.0000;Ergonomic mouse pad with ITelO Logo;Ergo Mousepad;/ESPM/Images/HT-1067.jpg;8.990;HT-1067;EA;Ergonomic mouse pad with ITelO Logo;;;80.000;G;
Computer System Accessories;Computer System Accessories;EUR;32.0000;7.0000;cm;42.0000;Notebook bag, plenty of room for stationery and writing materials;Fabric bag professional;/ESPM/Images/HT-1114.jpg;31.000;HT-1114;EA;Notebook bag, plenty of room for stationery and writing materials;;;1.800;KG;
Laser Printers;Laser Printers;EUR;46.0000;30.0000;cm;51.0000;Print 2400 dpi image quality color documents at speeds of up to 32 ppm (color) or 36 ppm (monochrome), letter/A4. Powerful 500 MHz processor, 512MB of memory;Laser Professional Eco;/ESPM/Images/HT-1040.jpg;830.000;HT-1040;EA;Print 2400 dpi image quality color documents at speeds of up to 32 ppm (color) or 36 ppm (monochrome), letter/A4. Powerful 500 MHz processor, 512MB of memory;;;32.000;KG;
