Category;CategoryName;CurrencyCode;DimensionDepth;DimensionHeight;DimensionUnit;DimensionWidth;LongDescription;Name;PictureUrl;Price;ProductId;QuantityUnit;ShortDescription;SupplierDetails_SupplierId;UpdatedTimestamp;Weight;WeightUnit;Picture
MP3 Players;MP3 Players;EUR;8.0000;9.2000;cm;5.1000;ITelo Jog-Mate 64 GB HDD and Color Display, can play movies;ITelo Jog-Mate;/ESPM/Images/HT-6121.jpg;63.000;HT-6121;EA;ITelo Jog-Mate 64 GB HDD and Color Display, can play movies;;;134.000;G;
Mice;Mice;EUR;14.5000;3.5000;cm;6.0000;Cordless Optical USB Mice, Laptop, Color: Black, Plug;Cordless Mouse;/ESPM/Images/HT-1060.jpg;9.000;HT-1060;EA;Cordless Optical USB Mice, Laptop, Color: Black, Plug;;;0.090;KG;
Notebooks;Notebooks;EUR;20.0000;3.0000;cm;33.0000;Notebook Professional 15 with 2,80 GHz quad core, 15" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;Notebook Professional 15;/ESPM/Images/HT-1010.jpg;1999.000;HT-1010;EA;Notebook Professional 15 with 2,80 GHz quad core, 15" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;100000048;;4.300;KG;
Flat Screen TVs;Flat Screen TVs;EUR;23.0000;79.1000;cm;128.0000;41-inch, 1366x768 Pixel, 16:9, HDTV ready;Flat Watch HD41;/ESPM/Images/HT-6132.jpg;899.000;HT-6132;EA;41-inch, 1366x768 Pixel, 16:9, HDTV ready;;;1.800;KG;
PCs;PCs;EUR;31.0000;43.0000;cm;28.0000;PC Power Station with 3,4 Ghz quad-core, 32 GB DDR3 SDRAM, feels like a PC, Windows 8 Pro;PC Power Station;/ESPM/Images/HT-1210.jpg;2399.000;HT-1210;EA;PC Power Station with 3,4 Ghz quad-core, 32 GB DDR3 SDRAM, feels like a PC, Windows 8 Pro;;;2.300;KG;
PDAs;PDAs;EUR;1.5000;14.0000;cm;84.0000;32 GB Digital Assistant with high-resolution color screen;Comfort Easy;/ESPM/Images/HT-1022.jpg;1679.000;HT-1022;EA;32 GB Digital Assistant with high-resolution color screen;;;0.200;KG;
Tablets;Tablets;EUR;31.0000;4.5000;cm;48.0000;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage, 4325 mAh battery (Up to 8 hours of active use);Mini Tablet;/ESPM/Images/HT-9993.jpg;833.000;HT-9993;EA;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage, 4325 mAh battery (Up to 8 hours of active use);;;3.800;KG;
Portable Players;Portable Players;EUR;16.5000;14.0000;cm;21.0000;9" LCD Screen, storage holds up to 8 hours, 2 speakers included;Portable DVD Player with 9" LCD Monitor;/ESPM/Images/HT-2002.jpg;853.990;HT-2002;EA;9" LCD Screen, storage holds up to 8 hours, 2 speakers included;;;0.720;KG;
Software;Software;EUR;1.5000;19.0000;cm;12.0000;Complete package, 1 User, bring your money in your mind, see what you have and what you want;Smart Money;/ESPM/Images/HT-1107.jpg;29.900;HT-1107;EA;Complete package, 1 User, bring your money in your mind, see what you have and what you want;;;0.500;KG;
Smartphones;Smartphones;EUR;15.0000;1.5000;cm;9.0000;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black;Cerdik Phone 7;/ESPM/Images/HT-1256-RIGHT.jpg;549.000;HT-1256;EA;7 inch 1280x800 HD display (216 ppi), Quad-core processor, 16 GB internal storage (actual formatted capacity will be less), 4325 mAh battery (Up to 8 hours of active use), white or black;;;0.750;KG;
Telecommunications;Telecommunications;EUR;18.0000;5.0000;cm;19.3000;Wireless DSL Router (available in blue, black and silver);Wireless DSL Router;/ESPM/Images/HT-1115.jpg;49.000;HT-1115;EA;Wireless DSL Router (available in blue, black and silver);;;0.450;KG;
Speakers;Speakers;EUR;10.4000;18.1000;cm;12.4000;PC multimedia speakers - optimized for Blutooth/A2DP;Sound Booster;/ESPM/Images/HT-1092.jpg;45.000;HT-1092;EA;PC multimedia speakers - optimized for Blutooth/A2DP;;;2.100;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;19.0000;43.0000;cm;40.8000;Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz, Dot Pitch: 0.25mm;Ergo Screen E-III;/ESPM/Images/HT-1032.jpg;345.000;HT-1032;EA;Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz, Dot Pitch: 0.25mm;;;21.000;KG;
Graphic Cards;Graphic Cards;EUR;35.0000;17.0000;cm;22.0000;Hurricane GX/LN: PCI-E 691 GFLOPS game-optimized, low-noise.;Hurricane GX/LN;/ESPM/Images/HT-1073.jpg;139.990;HT-1073;EA;Hurricane GX/LN: PCI-E 691 GFLOPS game-optimized, low-noise.;;;0.400;KG;
Tablets;Tablets;EUR;21.0000;3.5000;cm;38.0000;8-inch Multitouch HD Screen (2000 x 1500) 32GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1.5 GHz Quad-Core Processor;Cepat Tablet 8;/ESPM/Images/HT-1258-PORTRAIT.jpg;529.000;HT-1258;EA;8-inch Multitouch HD Screen (2000 x 1500) 32GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1.5 GHz Quad-Core Processor;;;2.500;KG;
Accessories;Accessories;EUR;40.0000;4.5000;cm;25.0000;Stylish tablet pouch, protects from scratches, color: black;Tablet Pouch;/ESPM/Images/HT-9996.jpg;20.000;HT-9996;EA;Stylish tablet pouch, protects from scratches, color: black;;;0.030;KG;
Keyboards;Keyboards;EUR;23.0000;4.0000;cm;51.4000;Cordless Bluetooth Keyboard with English keys;Cordless Bluetooth Keyboard, english international;/ESPM/Images/HT-1120.jpg;29.000;HT-1120;EA;Cordless Bluetooth Keyboard with English keys;;;1.000;KG;
Speakers;Speakers;EUR;11.0000;17.5000;cm;13.0000;PC multimedia speakers - 10 Watt (Total) - 2-way;Blaster Extreme;/ESPM/Images/HT-1091.jpg;26.000;HT-1091;EA;PC multimedia speakers - 10 Watt (Total) - 2-way;;;1.400;KG;
Mice;Mice;EUR;7.0000;4.0000;cm;3.0000;Optical USB Mouse, Color: Red, 5-button-functionality(incl. Scroll wheel), Plug;Track Mouse;/ESPM/Images/HT-1062.jpg;11.000;HT-1062;EA;Optical USB Mouse, Color: Red, 5-button-functionality(incl. Scroll wheel), Plug;;;0.030;KG;
MP3 Players;MP3 Players;EUR;6.0000;0.8000;cm;4.0000;MP3-Player with 80 GB SSD and Color Display, can play movies;Power Pro Player 80;/ESPM/Images/HT-6123.jpg;299.000;HT-6123;EA;MP3-Player with 80 GB SSD and Color Display, can play movies;;;267.000;G;
Computer System Accessories;Computer System Accessories;EUR;8.0000;4.3000;cm;20.0000;Robust 3m anti-burglary protection for your laptop computer;PC Lock;/ESPM/Images/HT-1110.jpg;8.900;HT-1110;EA;Robust 3m anti-burglary protection for your laptop computer;;;0.030;KG;
PCs;PCs;EUR;28.0000;42.0000;cm;27.0000;3,4 Ghz quad core, 16 GB DDR3 SDRAM, 4000 GB Hard Disc, Graphic Card: Hurricane GX, Windows 8;Gaming Monster Pro;/ESPM/Images/HT-1603.jpg;1700.000;HT-1603;EA;3,4 Ghz quad core, 16 GB DDR3 SDRAM, 4000 GB Hard Disc, Graphic Card: Hurricane GX, Windows 8;;;6.800;KG;
Projectors;Projectors;EUR;23.1000;23.0000;cm;30.4000;720p, DLP Projector max. 8,45 Meter, 2D;Beam Breaker B-1;/ESPM/Images/HT-6100.jpg;469.000;HT-6100;EA;720p, DLP Projector max. 8,45 Meter, 2D;;;1.700;KG;
Notebooks;Notebooks;EUR;18.0000;3.0000;cm;30.0000;Flexible Laptop with 2,5 GHz Dual Core, 14" HD+ TN, 8 GB DDR SDRAM, 324 GB SSD, Windows 10 Pro;Benda Laptop 1408;/ESPM/Images/HT-1253-THREE.jpg;976.000;HT-1253;EA;Flexible Laptop with 2,5 GHz Dual Core, 14" HD+ TN, 8 GB DDR SDRAM, 324 GB SSD, Windows 10 Pro;;;4.200;KG;
Notebooks;Notebooks;EUR;23.0000;2.0000;cm;33.0000;Notebook Professional 17 with 2,80 GHz quad core, 17" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;Notebook Professional 17;/ESPM/Images/HT-1011.jpg;2299.000;HT-1011;EA;Notebook Professional 17 with 2,80 GHz quad core, 17" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro;;;4.100;KG;
Software;Software;EUR;6.7000;24.0000;cm;14.0000;Complete package, 1 User, Image editing, processing;Smart Design;/ESPM/Images/HT-1101.jpg;79.900;HT-1101;EA;Complete package, 1 User, Image editing, processing;;;0.800;KG;
Ink Jet Printers;Ink Jet Printers;EUR;41.0000;28.0000;cm;41.0000;4800 dpi x 1200 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB, Ethernet;Ultra Jet Super Color;/ESPM/Images/HT-1050.jpg;139.000;HT-1050;EA;4800 dpi x 1200 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB, Ethernet;;;3.000;KG;
Portable Players;Portable Players;EUR;24.0000;6.0000;cm;37.0000;CD-RW, DVD+R/RW, DVD-R/RW, MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;Play Movie;/ESPM/Images/HT-6110.jpg;130.000;HT-6110;EA;CD-RW, DVD+R/RW, DVD-R/RW, MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;;;2.400;KG;
Keyboards;Keyboards;EUR;23.0000;4.0000;cm;51.4000;Corded Ergonomic Keyboard with special keys for Media Usability, USB;Media Keyboard;/ESPM/Images/HT-1065.jpg;26.000;HT-1065;EA;Corded Ergonomic Keyboard with special keys for Media Usability, USB;;;2.300;KG;
Ink Jet Printers;Ink Jet Printers;EUR;41.0000;28.0000;cm;41.0000;4800 dpi x 1200 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB2.0, Ethernet;Ultra Jet Super Highspeed;/ESPM/Images/HT-1052.jpg;170.000;HT-1052;EA;4800 dpi x 1200 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB2.0, Ethernet;;;18.000;KG;
Portable Players;Portable Players;EUR;19.5000;29.0000;cm;24.0000;10" LCD Screen, storage battery holds up to 8 hours;10" Portable DVD player;/ESPM/Images/HT-2001.jpg;449.990;HT-2001;EA;10" LCD Screen, storage battery holds up to 8 hours;;;0.840;KG;
Camcorders;Camcorders;EUR;31.0000;27.0000;cm;48.0000;1920x1080 Full HD, image stabilization reduces blur, 27x Optical / 32x Extended Zoom, wide angle Lens, 2.7" wide LCD display;Camcorder View;/ESPM/Images/HT-9994.jpg;1388.000;HT-9994;EA;1920x1080 Full HD, image stabilization reduces blur, 27x Optical / 32x Extended Zoom, wide angle Lens, 2.7" wide LCD display;;;3.800;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;12.0000;38.0000;cm;39.0000;Optimum Hi-Resolution Widescreen max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.27mm, HDMI, D-Sub;Broad Screen 22HD;/ESPM/Images/HT-1255-RIGHT.jpg;270.000;HT-1255;EA;Optimum Hi-Resolution Widescreen max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.27mm, HDMI, D-Sub;;;16.000;KG;
Projectors;Projectors;EUR;23.1000;23.0000;cm;30.4000;1080p, DLP max. 12,3 Meter, 3D-ready;Beam Breaker B-3;/ESPM/Images/HT-6102.jpg;889.000;HT-6102;EA;1080p, DLP max. 12,3 Meter, 3D-ready;;;2.500;KG;
Servers;Servers;EUR;27.3000;37.0000;cm;22.0000;Dual socket, quad-core processing server with 1644 MHz Front Side Bus with 100Gb connectivity;Server Power Pro;/ESPM/Images/HT-1502.jpg;25000.000;HT-1502;EA;Dual socket, quad-core processing server with 1644 MHz Front Side Bus with 100Gb connectivity;;;35.000;KG;
Scanners;Scanners;EUR;41.0000;12.0000;cm;33.0000;Flatbed scanner - Letter - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module;Jet Scan Professional;/ESPM/Images/HT-1082.jpg;169.000;HT-1082;EA;Flatbed scanner - Letter - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module;;;3.200;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;12.0000;36.0000;cm;37.0000;Optimum Hi-Resolution Widescreen max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm, HDMI, D-Sub;Bending Screen 21HD;/ESPM/Images/HT-1254-TOP.jpg;250.000;HT-1254;EA;Optimum Hi-Resolution Widescreen max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm, HDMI, D-Sub;;;15.000;KG;
Servers;Servers;EUR;35.0000;23.0000;cm;34.0000;Dual socket, quad-core processing server with 1333 MHz Front Side Bus with 10Gb connectivity;Server Basic;/ESPM/Images/HT-1500.jpg;5000.000;HT-1500;EA;Dual socket, quad-core processing server with 1333 MHz Front Side Bus with 10Gb connectivity;;;18.000;KG;
Computer System Accessories;Computer System Accessories;EUR;8.2000;1.3000;cm;9.0000;Color webcam, color, High-Speed USB;Web cam reality;/ESPM/Images/HT-1112.jpg;39.000;HT-1112;EA;Color webcam, color, High-Speed USB;;;0.075;KG;
Computer System Accessories;Computer System Accessories;EUR;10.2000;13.0000;cm;21.0000;Quality cables for notebooks and projectors;Audio/Video Cable Kit - 4m;/ESPM/Images/HT-2026.jpg;29.990;HT-2026;EA;Quality cables for notebooks and projectors;;;0.200;KG;
Notebooks;Notebooks;EUR;17.0000;3.1000;cm;29.0000;Notebook Basic 17 with 2,80 GHz quad core, 17" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Notebook Basic 17;/ESPM/Images/HT-1001.jpg;1249.000;HT-1001;EA;Notebook Basic 17 with 2,80 GHz quad core, 17" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;;;4.500;KG;
Flat Screen TVs;Flat Screen TVs;EUR;26.0000;61.0000;cm;99.1000;37-inch, 1366x768 Pixel, 16:9, HDTV ready;Flat Watch HD37;/ESPM/Images/HT-6131.jpg;1199.000;HT-6131;EA;37-inch, 1366x768 Pixel, 16:9, HDTV ready;;;2.200;KG;
MP3 Players;MP3 Players;EUR;6.0000;1.0000;cm;1.5000;64 GB USB Music-on-a-Stick;ITelo MusicStick;/ESPM/Images/HT-6120.jpg;45.000;HT-6120;EA;64 GB USB Music-on-a-Stick;;;134.000;G;
Smartphones;Smartphones;EUR;6.0000;1.5000;cm;8.0000;6 inch 1280x800 HD display (216 ppi), Quad-core processor, 8 GB internal storage (actual formatted capacity will be less), 3050 mAh battery (Up to 8 hours of active use), grey or black;Astro Phone 6;/ESPM/Images/HT-1252-RIGHT.jpg;649.000;HT-1252;EA;6 inch 1280x800 HD display (216 ppi), Quad-core processor, 8 GB internal storage (actual formatted capacity will be less), 3050 mAh battery (Up to 8 hours of active use), grey or black;;;0.750;KG;
PDAs;PDAs;EUR;13.0000;12.1000;cm;8.1000;Our new multifunctional Handheld with phone function in platinum;Platinberry;/ESPM/Images/HT-7030.jpg;549.000;HT-7030;EA;Our new multifunctional Handheld with phone function in platinum;;;0.500;KG;
Software;Software;EUR;3.4000;22.0000;cm;11.0000;Complete package, 1 User, different Multimedia applications, playing music, watching DVDs, only with this Smart package;Smart Multimedia;/ESPM/Images/HT-1103.jpg;77.000;HT-1103;EA;Complete package, 1 User, different Multimedia applications, playing music, watching DVDs, only with this Smart package;;;0.800;KG;
Software;Software;EUR;4.2000;23.1000;cm;17.9000;Complete package, 1 User, recommended for internet users, protect your PC against cyber-crime;Smart Firewall;/ESPM/Images/HT-1106.jpg;34.000;HT-1106;EA;Complete package, 1 User, recommended for internet users, protect your PC against cyber-crime;;;0.900;KG;
Portable Players;Portable Players;EUR;26.0000;6.2000;cm;38.0000;160 GB HDD, CD-RW, DVD+R/RW, DVD-R/RW, MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;Record Movie;/ESPM/Images/HT-6111.jpg;288.000;HT-6111;EA;160 GB HDD, CD-RW, DVD+R/RW, DVD-R/RW, MPEG 2 (Video-DVD), MPEG 4, VCD, SVCD, DivX, Xvid;;;3.100;KG;
Telecommunications;Telecommunications;EUR;18.0000;5.0000;cm;19.3000;Wireless DSL Router / Repeater (available in blue, black and silver);Wireless DSL Router / Repeater;/ESPM/Images/HT-1116.jpg;59.000;HT-1116;EA;Wireless DSL Router / Repeater (available in blue, black and silver);;;0.450;KG;
Headsets;Headsets;EUR;19.0000;23.0000;cm;24.0000;5.1 Headset, 40 Hz-20 kHz, Wireless;Lovely Sound 5.1 Wireless;/ESPM/Images/HT-1095.jpg;49.000;HT-1095;EA;5.1 Headset, 40 Hz-20 kHz, Wireless;;;80.000;G;
Notebooks;Notebooks;EUR;20.0000;3.4000;cm;32.0000;Notebook with 2,80 GHz dual core, 8 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8;ITelO FlexTop I6300c;/ESPM/Images/HT-8001.jpg;999.000;HT-8001;EA;Notebook with 2,80 GHz dual core, 8 GB DDR3 SDRAM, 500 GB Hard Disc, Windows 8;;;4.200;KG;
PDAs;PDAs;EUR;13.0000;12.1000;cm;8.1000;Our new multifunctional Handheld with phone function in silver;Silverberry;/ESPM/Images/HT-7010.jpg;549.000;HT-7010;EA;Our new multifunctional Handheld with phone function in silver;;;0.500;KG;
Mice;Mice;EUR;0.5000;1.0000;cm;0.3000;Portable pocket Mouse with retracting cord;Pocket Mouse;/ESPM/Images/HT-1138.jpg;23.000;HT-1138;EA;Portable pocket Mouse with retracting cord;;;0.020;KG;
Accessories;Accessories;EUR;31.0000;4.5000;cm;48.0000;Durable high quality plastic bump-sleeve, lightweight, protects from scratches, rubber coating, multiple colors available, Accurate design and cut-outs for your device, snap-on design;Smartphone Cover;/ESPM/Images/HT-9995.jpg;15.000;HT-9995;EA;Durable high quality plastic bump-sleeve, lightweight, protects from scratches, rubber coating, multiple colors available, Accurate design and cut-outs for your device, snap-on design;;;0.020;KG;
Flat Screen Monitors;Flat Screen Monitors;EUR;12.0000;36.0000;cm;37.0000;Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm;Ergo Screen E-I;/ESPM/Images/HT-1030.jpg;230.000;HT-1030;EA;Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm;;;21.000;KG;
Notebooks;Notebooks;EUR;18.0000;3.0000;cm;30.0000;Notebook Basic 15 with 2,80 GHz quad core, 15" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro;Notebook Basic 15;/ESPM/Images/HT-1000.jpg;956.000;HT-1000;EA;Notebook Basic 15 with 2,80 GHz quad core, 15" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro; ;;4.200;KG;
PCs;PCs;EUR;34.0000;47.0000;cm;26.5000;3,4 Ghz quad core, 8 GB DDR3 SDRAM, 2000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;Gaming Monster;/ESPM/Images/HT-1602.jpg;1200.000;HT-1602;EA;3,4 Ghz quad core, 8 GB DDR3 SDRAM, 2000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;;;5.900;KG;
MP3 Players;MP3 Players;EUR;8.0000;9.2000;cm;5.1000;MP3-Player with 40 GB HDD and Color Display, can play movies;Power Pro Player 40;/ESPM/Images/HT-6122.jpg;167.000;HT-6122;EA;MP3-Player with 40 GB HDD and Color Display, can play movies;;;266.000;G;
Software;Software;EUR;6.5000;2.1000;cm;15.0000;Complete package, 1 User, Office Applications (word processing, spreadsheet, presentations);Smart Office;/ESPM/Images/HT-1100.jpg;89.900;HT-1100;EA;Complete package, 1 User, Office Applications (word processing, spreadsheet, presentations);;;1.200;KG;
Notebooks;Notebooks;EUR;18.0000;3.0000;cm;30.0000;Flexible Laptop with 2,5 GHz Quad Core, 15" HD TN, 16 GB DDR SDRAM, 256 GB SSD, Windows 10 Pro;Astro Laptop 1516;/ESPM/Images/HT-1251-TOP.jpg;989.000;HT-1251;EA;Flexible Laptop with 2,5 GHz Quad Core, 15" HD TN, 16 GB DDR SDRAM, 256 GB SSD, Windows 10 Pro;;;4.200;KG;
Software;Software;EUR;3.0000;30.0000;cm;10.0000;Complete package, 1 User, various games for amusement, logic, action, jump;Smart Games;/ESPM/Images/HT-1104.jpg;55.000;HT-1104;EA;Complete package, 1 User, various games for amusement, logic, action, jump;;;1.100;KG;